"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Chad Campbell",-0.933,270.1,-2.199,-0.711,-0.038,-0.184,74.435,216,185,93,6,10,45
"Ricky Barnes",-0.946,290.4,-0.378,-0.547,-0.959,0.56,73.152,207,188,91,9,14,45
"Danny Willett",-1.019,292.8,-1.616,0.592,-0.916,-0.695,73.127,206,180,77,6,15,21
"John Senden",-1.077,293.3,0.011,-0.371,-0.564,-0.143,72.821,198,193,91,7,13,62
"Grayson Murray",-1.166,320,-0.716,-0.871,0.047,-0.342,74.361,215,185,90,6,15,55
"Ben Crane",-1.285,276,0.725,-0.469,-0.706,-0.11,72.061,165,180,75,11,18,82
"Freddie Jacobson",-1.436,295.5,-0.358,-0.135,-0.394,-0.908,74.064,213,185,81,2,9,30
"Seamus Power",-1.452,292.8,-0.045,-1.442,-0.281,0.272,73.26,209,191,91,19,32,94
"Charl Schwartzel",-1.47,288.3,-1.645,0.072,-1.993,0.452,73.715,211,180,73,7,13,4
"Chad Collins",-1.494,270.1,0.543,-0.511,-1.145,0.162,72.887,201,175,79,17,30,57
"D.A. Points",-1.575,267.2,0.014,-0.685,-0.482,-0.408,72.247,177,185,88,8,9,37
"Charley Hoffman",-1.823,284,1.708,-0.801,-1.039,0.018,72.677,193,183,91,5,19,9
"Francesco Molinari",-1.823,273.8,-0.003,-1.44,-0.149,-0.233,73.659,210,173,72,4,7,48
"Michael Kim",-1.965,272.4,-0.187,-0.154,-1.825,0.014,74.07,214,180,75,13,29,101
"Pat Perez",-2.028,289.7,1.799,-1.804,-0.127,-0.097,71.19,103,183,86,10,22,16
"Will MacKenzie",-2.472,273.7,-1.016,-1.499,0.205,-1.178,72.763,197,180,77,3,8,18
"Wesley Bryan",-3.253,267.8,-2.022,-0.599,-2.57,-0.084,75.529,217,183,0,6,9,43
"Adam Scott",-4.317,315.3,0.088,-1.704,-0.856,-1.757,71.265,111,183,82,12,18,11
